file name,title,goes_to,change_spotlight,comes_from,music,keyword,argument,question_A,question_B,goes_to_A,goes_to_B,goes_to_C,question_C
Following path and getting lost - AGG 2025,Following path and getting lost,[[Reaching higher ground during a storm - AGG 2025]],,[[Wandering through the forest - AGG 2025]],[[Zwielicht Op. 39 n.10]],"[[walking]], [[lost]], [[night]], [[forest]]","Sasha follows the path through the gloomy forest. Every shadow or sound is turned into an ill omen of terror by the impenetrable darkness of the night. But love drives the steps of our character forward, surmounting their ancestral fear.",Follow the story of Sasha.,,[[Reaching higher ground during a storm - AGG 2025]],,,
Happy ending - AGG 2025,Happy ending,,,"[[Despair and homesickness. Giving up their dreams - AGG 2025]], [[Daydreaming about eternal love - AGG 2025]]","[[Hochzeitslied D. 463]], [[Du bist mir lieb]], [[Liebst du um schönheit GMW 43]]","[[marriage]], [[death]], [[love]], [[suspense]]","Sasha and Rune are finally reunited. There are no words to describe their endless joy. A bright future awaits them, and if they haven’t died, they are still living happily together. “Und wenn sie nicht gestorben sind, dann leben sie noch heute”.",,,,,,
Lonely man is burying a coffin - AGG 2025,Lonely man is burying a coffin,[[Telling own story with a song - AGG 2025]],,[[Seek shelter in abandoned monastery - AGG 2025]],"[[Die alten, bösen Lieder Op. 48 no. 16]]",[[grave]],"Amidst the ruins, Rune is woken by the faint light of dawn. From one of the surviving gothic windows, Rune sees a lonely figure digging a deep hole in the nearby graveyard. Rune decides to ask the only living being in the castle for directions. ",Follow the story of Rune.,,[[Telling own story with a song - AGG 2025]],,,
Meeting the Witch - AGG 2025,Meeting the Witch,"[[Demonic deception - AGG 2025]], [[Recognition of the evil sorceress - AGG 2025]]",,"[[Abandoned horse in the forest - AGG 2025]], [[Staying awake - AGG 2025]]",[[Sehnsucht D.123]],"[[witch]], [[songbird]], [[bird]], [[transmutation]]","After a night spent wandering, the dawn begins to break. A flock of crows suddenly darkens the early morning sky, and then disperses, leaving only a single bird behind. Sasha has the feeling that this bird is looking back at them with almost human intelligence. ",The character is exhausted by  the incessant journey  and throws a pebble to drive away  the animal.,The character is intrigued by  the marvellous bird and leaves them a breadcrumb before proceeding on their path.,[[Recognition of the evil sorceress - AGG 2025]],[[Demonic deception - AGG 2025]],,
Mistrust of animals - AGG 2025,Mistrust of animals,[[Abandoned horse in the forest - AGG 2025]],,[[Falling asleep - AGG 2025]],[[Der Feind Op. 145]],"[[animal]], [[non-human]], [[mistrust]]","Sasha suddenly wakes up, realising that exhaustion had led them to fall asleep in the middle of the forest. Dawn brings a feeling of unease to our character. Mistrusting and invisible eyes keep watch while Sasha prepares to depart. ",Follow the story of Sasha.,,[[Abandoned horse in the forest - AGG 2025]],,,
Moonlight -  AGG 2025,Moonlight,"[[Daydreaming about eternal love - AGG 2025]], [[Despair and homesickness. Giving up their dreams - AGG 2025]]",,"[[Recognition of the evil sorceress - AGG 2025]], [[Prayer of the Hermit - AGG 2025]]",[[Mondnacht Op. 39 no. 5]],"[[moonlight]], [[moon]]","As the clouds disperse, our character finds shelter in a shepherd’s hut. Through the missing roof, it is possible to gaze at the beautiful waxing moon, while the sun slowly rises in the east. In the distance, our character sees the crossroads where they had planned to meet their beloved. ","The character decides to take a short break in the hut, to gather the last forces.","The enthusiasm of youth drives the character in the meadows, walking on a steady  pace in the direction of the milestone.",[[Daydreaming about eternal love - AGG 2025]],[[Despair and homesickness. Giving up their dreams - AGG 2025]],,
Prayer of the Hermit - AGG 2025,Prayer of the Hermit,[[Moonlight -  AGG 2025]],[[Witch's love enchantment - AGG 2025]],[[Telling own story with a song - AGG 2025]],[[Gedichte der Königin Maria Stuart Op.135 n.5]],"[[walking]], [[silence]], [[happiness]], [[prayer]], [[shelter]]","After having listened to Rune’s story, the hermit recites a prayer in a low and solemn tone. The words of the invocation reveal a glimpse of Vanadis’s past, echoing the same miseries of our character’s love story. Rune regains strength and faith. After some kind words of farewell, they resume their journey.",Turn the spotlight to Sasha.,Follow the story of Rune.,[[Witch's love enchantment - AGG 2025]],[[Moonlight -  AGG 2025]],,
Reaching higher ground during a storm - AGG 2025,Reaching higher ground during a storm,"[[Staying awake - AGG 2025]], [[Falling asleep - AGG 2025]]",[[Seek shelter in abandoned monastery - AGG 2025]],[[Following path and getting lost - AGG 2025]],"[[Stürmisch Wandern, Op. 18 n.°6]]","[[storm]], [[snow]], [[climbing]], [[determination]]","Rain has been falling incessantly since Sasha’s departure. The path is inaccessible, and Sasha has lost their way. Their only chance is to climb the nearest hill in order to attain a new sense of orientation. Fighting against the rain and wind, Sasha realises that the storm is intensifying. ","Regardless of the weather, Sasha stubbornly proceeds in their march through the woods.","What seems to be an abandoned natural cave could be a safe, and relatively  dry  place to pass the night.",[[Staying awake - AGG 2025]],[[Falling asleep - AGG 2025]],[[Seek shelter in abandoned monastery - AGG 2025]],Turn the spotlight to Rune.
Recognition of the evil sorceress - AGG 2025,Recognition of the evil sorceress,[[Moonlight -  AGG 2025]],[[Prayer of the Hermit - AGG 2025]],[[Meeting the Witch - AGG 2025]],"[[Waldesgespräch, op. 39 no. 3]]","[[sorcery]], [[curse]]","After being hit by the pebble, the strange bird emits a sharp sound like a woman’s scream. Is it possible? Instead of a bird, Sasha is confronted by a furious witch with pale skin and scarlet curls. Shrieking curses in an unknown language, the figure approaches. Sasha runs away as fast as possible.",Follow the story of Sasha.,Turn the spotlight to Rune.,[[Moonlight -  AGG 2025]],[[Prayer of the Hermit - AGG 2025]],,
Sad ending - AGG 2025,Sad ending,,,"[[Daydreaming about eternal love - AGG 2025]], [[Despair and homesickness. Giving up their dreams - AGG 2025]]","[[Gretchen am Spinnrade D.118]], [[Wie viele Zeit verlor Ich IHW 15 n. 37]]","[[abandonment]], [[grief]], [[madness]], [[disappointment]]","The quest has failed: their love could not prevail against ill fate. Rune is destined to wed the old bachelor, imposed by their tutor, while a life of misery and regret will attend Sasha… The lovers are parted for eternity.",,,,,,
Seek shelter in abandoned monastery - AGG 2025,Seek shelter in abandoned monastery,[[Lonely man is burying a coffin - AGG 2025]],[[Staying awake - AGG 2025]],[[Wandering through the ruins - AGG 2025]],[[Die junge Nonne D.828]],"[[shelter]], [[ruin]], [[monastery]]","Rune manages to find refuge in an old monastery, by opening the rusty old gate of the building. Empty halls tell forgotten tales of countless generations of nuns and their seclusion. Rune falls asleep in an austere cell.",Turn the spotlight to Sasha.,Follow the story of Rune.,[[Staying awake - AGG 2025]],[[Lonely man is burying a coffin - AGG 2025]],,
Staying awake - AGG 2025,Staying awake,[[Meeting the Witch - AGG 2025]],,[[Reaching higher ground during a storm - AGG 2025]],[[Die Mainacht Op. 43 n.2]],"[[forest]], [[moon]], [[wandering]]","Despite muddy boots and wet clothes, Sasha continues to strive against the stormy weather. Maintaining a steady pace, the trail gradually becomes clearer. In the distance, the old estate is visible. Sasha’s thoughts of their beloved are a guiding star leading them tirelessly onwards. ",Follow the story of Sasha.,,[[Meeting the Witch - AGG 2025]],,,
"Taking a ""shortcut"" - AGG 2025","Taking a ""shortcut""",[[Elf of the woods creates charming illusion - AGG 2025]],,[[Wandering through the forest - AGG 2025]],[[Wir wandelten Op.96 n. 2]],"[[lost]], [[forest]]","According to their grandfather, an abandoned game trail should still be traceable, potentially saving several hours of travel. In leaving the security of the main road in favour of the unknown, Sasha turns their back to their former life to pursue a nobler goal.",Follow the story of Sasha.,,[[Elf of the woods creates charming illusion - AGG 2025]],,,
Telling own story with a song - AGG 2025,Telling own story with a song,[[Prayer of the Hermit - AGG 2025]],[[Witches' ritual - AGG 2025]],"[[Witches' ritual - AGG 2025]], [[Danse macabre - AGG 2025]], [[Lonely man is burying a coffin - AGG 2025]]",[[Wehmut Op. 39 no. 9]],"[[singing]], [[narrative]], [[sadness]]","The lonely figure, a Hermit by the name of Vanadis, is leading Rune to their abandoned chapel. Once arrived, the Hermit breaks their silence to offer Rune some rustic refreshment. Rune decides to repay the Hermit’s hospitality by telling their tale of thwarted love and great misfortune. ",Turn the spotlight to Sasha.,Follow the story of Rune.,[[Witches' ritual - AGG 2025]],[[Prayer of the Hermit - AGG 2025]],,
Wandering through the forest - AGG 2025,Wandering through the forest,"[[Following path and getting lost - AGG 2025]], [[Taking a ""shortcut"" - AGG 2025]]",,,[[Dunkel wie dunkel in Wald und in Feld Op. 43 n.1]],"[[forest]], [[wandering]]","At the boundaries of the ancient forest, a lonely traveller advances on a desolate road. Sasha has left the safety of their native village in order to rescue their beloved Rune from an unwilling marriage. Staring at the impenetrable darkness of the woods, they realise how hard it will be to reach the other side by dawn…","A smaller path lies more or less parallel to the main road, heading towards the right direction. It could be worth trying…","According to their grandfather, further down the main road an abandoned game trail should save several hours of journey. But will its trails still be present after years of overgrowing?",[[Following path and getting lost - AGG 2025]],"[[Taking a ""shortcut"" - AGG 2025]]",,
Wandering through the ruins - AGG 2025,Wandering through the ruins,"[[Ancient grave - AGG 2025]], [[Seek shelter in abandoned monastery - AGG 2025]]",,,[[Wie rafft ich mich auf Op. 32 n.1]],"[[graveyard]], [[night]], [[storm]]","Rune arrives at an abandoned summer estate, a desolate castle once the splendor of a noble family. Rain has been falling incessantly, having helped Rune’s escape from their greedy tutor. While wandering through the ruins, Rune seeks a refuge for the night.","One of the buildings, inspiring solidity  and endurance typical of gothic architecture, seems a good place to rest and seek shelter. Would the rusty  gate of the main entrance still be open?","The shelter of a small crypt in the old family  graveyard appears to be the best place to hide, in case any  pursuer would have tracked their steps to here.",[[Seek shelter in abandoned monastery - AGG 2025]],[[Ancient grave - AGG 2025]],,
Witch's love enchantment - AGG 2025,Witch's love enchantment,"[[Daydreaming about eternal love - AGG 2025]], [[Despair and homesickness. Giving up their dreams - AGG 2025]]",,[[Demonic deception - AGG 2025]],[[In dunkler Nacht Op. 60 no. 1]],"[[charm]], [[enchantment]], [[witch]], [[love]]","Ymir, exhausted by the futility of trying to persuade Sasha to forget their lover, becomes enraged. Ymir’s charming facade disintegrates, and they utter primordial and mysterious syllables - an ancient language lost to the memory of man. An ancestral enchantment is binding  Sasha’s soul to the power of Ymir. ","The character resists the witch’s charms, closing their eyes and drawing on their faith and will in order to protect them from dark practices. A silence, then the silent wood and a bright ray  of morning sun, leading the way  to the end of the forest.","The witch’s words pervades the character’s mind with horrendous visions and untellable horrors. After regaining consciousness, the character finds themselves alone in the woods.",[[Daydreaming about eternal love - AGG 2025]],[[Despair and homesickness. Giving up their dreams - AGG 2025]],,
Witches' ritual - AGG 2025,Witches' ritual,[[Demons keep the lovers apart - AGG 2025]],[[Prayer of the Hermit - AGG 2025]],[[Abandoned horse in the forest - AGG 2025]],[[Hexenlied Op. 8 n.8]],"[[ritual]], [[witch]], [[magic]]","The strange and mesmerising litany leads Sasha to an ancient well surrounded by trees of great age. A group of hooded figures surround the mossy stones, drawing water from the well with a frayed rope. One figure turns towards Sasha, revealing pale skin, crimson hair, and a supernatural beauty. Ymir offers them a cup of the mystical liquid. ",Follow the story of Sasha.,Turn the spotlight to Rune.,[[Demons keep the lovers apart - AGG 2025]],[[Prayer of the Hermit - AGG 2025]],,
